จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนโรงบำบัดน้ำเสีย(แห่ง),ปริมาณน้ำเสีย(ลบ.ม./วัน),ปริมาณน้ำเสียที่บำบัดได้(ลบ.ม./วัน),รถยนต์เก็บขยะ   จำนวน(คัน)
กระบี่,62,8,19025,25887,70
กาญจนบุรี,122,4,34594,33894,125
กาฬสินธุ์,151,6,7145,7562,155
กำแพงเพชร,90,6,9375,7675,71
ขอนแก่น,225,12,40354,84497,319
จันทบุรี,82,7,14435,10776,110
ฉะเชิงเทรา,109,87,29388,21080,128
ชลบุรี,99,25,312601,468441,359
ชัยนาท,60,2,4706,3500,76
ชัยภูมิ,143,7,38135,23875,138
ชุมพร,79,6,2107893,10658073,80
เชียงราย,144,8,10630,27409,116
เชียงใหม่,211,25,18802,22120,250
ตรัง,100,7,28151,28200,98
ตราด,44,1,50,50,56
ตาก,69,3,2178,11317,63
นครนายก,46,0,0,11569,35
นครปฐม,117,72,121764,36318,217
นครพนม,104,16,988,596,88
นครราชสีมา,334,43,96302,97110,361
นครศรีธรรมราช,185,15,246127,4276,210
นครสวรรค์,143,23,73127,45718,147
นนทบุรี,46,9,28905,46959,337
นราธิวาส,89,5,1504,1504,113
น่าน,100,4,4700,4000,52
บึงกาฬ,60,1,350,0,73
บุรีรัมย์,209,4,27421,25256,203
ปทุมธานี,65,25,110715,1645831,303
ประจวบคีรีขันธ์,61,10,39815,20533,92
ปราจีนบุรี,70,67,296033,295974,83
ปัตตานี,114,8,11338,5665,126
พระนครศรีอยุธยา,158,7,192400,145985,237
พะเยา,72,8,2783,5761,65
พังงา,52,1,90,50,67
พัทลุง,74,4,7418,31,63
พิจิตร,102,6,94651,5801,66
พิษณุโลก,103,10,741,798,125
เพชรบุรี,85,5,11113,9964,103
เพชรบูรณ์,128,13,5062,1907,128
แพร่,84,2,2530,3030,77
ภูเก็ต,19,6,97500,92500,139
มหาสารคาม,143,2,13825,7995,110
มุกดาหาร,55,2,10500,7000,32
แม่ฮ่องสอน,50,0,0,0,38
ยโสธร,88,2,4792,2666,88
ยะลา,64,3,12000,6010,97
ร้อยเอ็ด,203,3,4636,1405,135
ระนอง,31,8,1170,1150,35
ระยอง,68,21,37400,30718,164
ราชบุรี,112,3,23500,11000,123
ลพบุรี,126,19,28584,9327,123
ลำปาง,104,18,20228,7904,147
ลำพูน,58,9,20392,20365,38
เลย,101,1,2573,101,111
ศรีสะเกษ,217,3,3615,5115,78
สกลนคร,141,6,12334,15110,124
สงขลา,141,53,625862,6554797,328
สตูล,42,2,5004,48,56
สมุทรปราการ,49,3,6160,38000,273
สมุทรสงคราม,36,0,0,0,30
สมุทรสาคร,38,141,34928,522777,142
สระแก้ว,66,3,80125,30,58
สระบุรี,109,9,28426,350,187
สิงห์บุรี,42,4,5000,3005,42
สุโขทัย,91,9,9564,6674,86
สุพรรณบุรี,127,8,24241,11654,123
สุราษฎร์ธานี,138,10,2558,1558,156
สุรินทร์,173,64,14534,10434,56
หนองคาย,68,3,2882,1500,114
หนองบัวลำภู,68,0,4000,0,78
อ่างทอง,65,2,1,2501,62
อำนาจเจริญ,64,1,8383,150,47
อุดรธานี,181,6,194861,3037,273
อุตรดิตถ์,80,1,8440,0,85
อุทัยธานี,64,1,5000,0,43
อุบลราชธานี,239,8,23440,24437,168
รวม,7852,1006,5429797,21248310,9574
