จำนวนหนี้สินเฉลี่ยต่อครัวเรือน จำแนกตามภาคและจังหวัด พ.ศ. 2541 - 2558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Debt Per Household by Region and Province: 1998 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,บาท   Baht  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ภาค และจังหวัด,,2541,2543,2545,2547,2549,2550,2552,2554,2556,2558,Region and province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1998),(2000),(2002),(2004),(2006),(2007),(2009),(2011),(2013),(2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ทั่วราชอาณาจักร ,,"69,674  ","68,405  ","82,485  ","104,571  ","116,585  ","116,681  ","134,699  ","134,900  ","163,087  ","156,770  ", Whole Kingdom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ตอนพิเศษ ,,"131,740  ","126,527  ","157,730  ","155,622  ","155,212  ","151,168  ","199,608  ","202,157  ","273,795  ","171,837  ", Greater Bangkok ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        กรุงเทพมหานคร ,,"138,247  ","135,137  ","162,199  ","160,776  ","158,059  ","155,396  ","207,665  ","218,741  ","275,577  ","164,706  ",            Bangkok ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สมุทรปราการ ,,"40,632  ","67,390  ","84,345  ","78,750  ","95,975  ","85,904  ","117,361  ","115,169  ","207,741  ","87,647  ",            Samut Prakan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        นนทบุรี ,,"112,337  ","102,994  ","145,908  ","203,040  ","179,007  ","196,895  ","240,769  ","258,853  ","260,752  ","277,606  ",            Nonthaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ปทุมธานี ,,"217,932  ","139,691  ","232,245  ","145,015  ","193,153  ","152,187  ","220,761  ","145,293  ","386,957  ","221,748  ",            Pathum Thani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ภาคกลาง ,,"64,046  ","69,579  ","76,278  ","115,184  ","113,475  ","112,342  ","131,902  ","109,168  ","145,588  ","142,056  ", Central Region ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        พระนครศรีอยุธยา ,,"56,147  ","23,636  ","26,107  ","49,446  ","53,222  ","54,762  ","163,425  ","81,609  ","106,260  ","216,816  ",            Phra Nakhon Si Ayutthaya ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        อ่างทอง ,,"39,831  ","81,035  ","29,021  ","43,598  ","118,556  ","105,430  ","309,494  ","133,918  ","212,498  ","132,829  ",            Ang Thong ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ลพบุรี ,,"45,759  ","47,821  ","57,245  ","141,603  ","162,620  ","140,722  ","176,483  ","87,009  ","97,449  ","92,474  ",            Lop Buri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สิงห์บุรี ,,"44,384  ","49,751  ","82,645  ","100,573  ","88,518  ","76,219  ","55,605  ","133,378  ","151,450  ","168,239  ",            Sing Buri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ชัยนาท ,,"55,851  ","61,866  ","63,025  ","93,763  ","98,121  ","180,175  ","146,132  ","175,957  ","264,144  ","273,336  ",            Chai Nat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สระบุรี ,,"59,112  ","61,918  ","74,101  ","99,883  ","111,111  ","120,194  ","148,743  ","142,504  ","248,741  ","197,696  ",            Saraburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ชลบุรี ,,"40,159  ","66,669  ","62,991  ","204,158  ","128,114  ","139,319  ","191,149  ","186,509  ","159,084  ","149,192  ",            Chon Buri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ระยอง ,,"59,146  ","61,997  ","63,182  ","135,492  ","114,145  ","149,593  ","144,786  ","104,910  ","171,432  ","145,527  ",            Rayong ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        จันทบุรี ,,"123,938  ","115,517  ","145,209  ","184,233  ","176,403  ","186,301  ","125,646  ","124,266  ","110,504  ","130,258  ",            Chanthaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ตราด ,,"50,639  ","23,342  ","53,276  ","86,974  ","90,976  ","122,305  ","99,210  ","91,346  ","147,139  ","147,114  ",            Trat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ฉะเชิงเทรา ,,"50,811  ","120,083  ","122,393  ","162,527  ","77,611  ","151,114  ","95,398  ","102,745  ","217,298  ","75,443  ",            Chachoengsao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ปราจีนบุรี ,,"41,438  ","33,628  ","48,791  ","86,163  ","96,975  ","120,822  ","175,679  ","127,503  ","110,519  ","161,433  ",            Prachin Buri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        นครนายก ,,"73,887  ","123,144  ","62,397  ","100,836  ","96,838  ","98,113  ","79,420  ","77,091  ","134,040  ","144,657  ",            Nakhon Nayok ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สระแก้ว ,,"30,620  ","48,980  ","69,543  ","64,943  ","88,116  ","101,281  ","105,886  ","106,147  ","166,090  ","249,127  ",            Sa Kaeo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ราชบุรี ,,"65,791  ","59,401  ","98,283  ","106,568  ","110,017  ","96,086  ","121,084  ","116,257  ","192,593  ","104,894  ",            Ratchaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        กาญจนบุรี ,,"75,797  ","84,269  ","86,943  ","62,816  ","114,158  ","91,113  ","107,527  ","68,786  ","105,780  ","89,862  ",            Kanchanaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สุพรรณบุรี ,,"68,580  ","70,623  ","41,290  ","135,262  ","93,851  ","80,475  ","63,524  ","53,265  ","36,593  ","50,553  ",            Suphan Buri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        นครปฐม ,,"163,876  ","115,912  ","124,111  ","174,832  ","167,798  ","100,110  ","101,030  ","59,484  ","175,894  ","153,504  ",            Nakhon Pathom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สมุทรสาคร ,,"79,762  ","64,086  ","131,561  ","64,616  ","138,320  ","69,569  ","133,793  ","104,822  ","56,367  ","128,830  ",            Samut Sakhon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สมุทรสงคราม ,,"44,140  ","45,602  ","48,363  ","23,533  ","8,411  ","5,778  ","27,061  ","9,244  ","9,857  ","8,090  ",            Samut Songkhram ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        เพชรบุรี ,,"49,970  ","87,044  ","94,257  ","42,150  ","85,158  ","76,667  ","70,298  ","125,291  ","109,519  ","170,522  ",            Phetchaburi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ประจวบคีรีขันธ์ ,,"49,285  ","56,790  ","57,042  ","79,519  ","128,589  ","140,536  ","173,821  ","159,828  ","222,219  ","168,374  ",            Prachuap Khiri Khan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ภาคเหนือ ,,"58,682  ","56,199  ","57,535  ","94,893  ","114,201  ","110,702  ","119,726  ","122,454  ","137,059  ","145,346  ", Northern Region ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        เชียงใหม่ ,,"70,630  ","52,547  ","68,716  ","91,892  ","114,321  ","93,611  ","131,525  ","89,080  ","39,182  ","31,196  ",            Chiang Mai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ลำพูน ,,"41,034  ","65,838  ","75,364  ","147,882  ","119,570  ","108,318  ","180,285  ","177,830  ","188,174  ","231,587  ",            Lamphun ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ลำปาง ,,"132,365  ","69,200  ","44,629  ","71,597  ","152,660  ","116,734  ","91,695  ","157,080  ","174,046  ","119,216  ",            Lampang ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        อุตรดิตถ์ ,,"44,177  ","23,839  ","42,717  ","86,237  ","125,520  ","109,336  ","99,686  ","112,976  ","125,871  ","149,576  ",            Uttaradit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        แพร่ ,,"45,448  ","48,371  ","62,064  ","90,844  ","64,098  ","117,489  ","83,630  ","131,010  ","149,357  ","180,460  ",            Phrae ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        น่าน ,,"36,863  ","52,457  ","60,273  ","122,035  ","107,155  ","127,524  ","165,434  ","126,774  ","188,161  ","162,325  ",            Nan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        พะเยา ,,"50,234  ","39,296  ","65,646  ","54,986  ","101,306  ","116,854  ","102,774  ","104,638  ","80,663  ","148,001  ",            Phayao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        เชียงราย ,,"30,723  ","28,252  ","51,400  ","95,424  ","114,376  ","101,202  ","94,392  ","111,092  ","44,956  ","73,166  ",            Chiang Rai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        แม่ฮ่องสอน ,,"27,787  ","31,601  ","29,390  ","58,187  ","33,352  ","63,553  ","32,562  ","41,957  ","38,341  ","123,172  ",            Mae Hong Son ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
