รหัสสัตว์น้ำ,ชนิดสัตว์น้ำ,ชื่อไทย,ชื่อท้องถิ่น,ชื่อสามัญ,ชื่อวิทยาศาสตร์,ชื่อวงศ์สัตว์น้ำ,ชื่อ/ปีที่เผยแพร่,ลักษณะชีววิทยาทั่วไป,ถิ่นที่อาศัย,สถานะภาพ,ที่มาของภาพ,ที่มาของข้อมูล,ชื่อภาพ,Path เก็บภาพ (เล็ก),Path เก็บภาพ (ใหญ่)
1, ปลา, ปลาฉนากจะงอยกว้าง, ฉนากน้ำจืด, Largetooth, Pristis   microdon, Family Pristidae,"Latham, 1794", ปลาทะเลที่อพยพเข้ามาในแหล่งน้ำจืดเป็นครั้งคราว นิสัย เป็นปลากินเนื้อ กินปลา และสัตว์หน้าดิน ขนาดที่พบใหญ่สุด มีความยาวมากกว่า 500 เซนติเมตร, การกระจายพันธุ์ พบในทะเลชายฝั่งและปากแม่น้ำต่างๆ ของเขตอินโดแปซิฟิค ในแม่น้ำเจ้าพระยา มีรายงานพบอพยพ ขึ้นจนถึงบึงบอระเพ็ด ปัจจุบันสูญพันธุ์แล้วจากประเทศไทย และ อยู่ในภาวะใกล้สูญพันธุ์อย่างวิกฤตตามบัญชีแดงของ IUCN, ใกล้สูญพันธุ์,  อุบลรัตน์ สุนทรรัตน์, กรมประมง, 1.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/1.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=1
2, ปลา, กระเบนเจ้าพระยา,,, Himantura   chaophraya, Family Dasyatidae,"Mongkolprasit and Roberts, 1990", อาศัยในแม่น้ำสายหลัก นิสัยเป็นปลากินเนื้อ กินปลา กุ้ง ปู และสัตว์หน้าดิน ขนาดที่พบใหญ่สุดมีความกว้างลำตัว มากกว่า 250 เซนติเมตร และมีน้ำหนักมากถึง 500 กิโลกรัม, การกระจายพันธุ์ พบเป็นบริเวณกว้างตั้งแต่ภูมิภาค เอเซียตะวันออกเฉียงใต้ เขตบอร์เนียว ประเทศอินโดนีเซีย จนถึงเขตออสเตรเลียตอนเหนือ ในแม่น้ำเจ้าพระยา พบตั้งแต่บริเวณปากแม่น้ำจนถึงบริเวณจังหวัดนครสวรรค์,,,, 2.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/2.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=2
3, ปลา, กระเบนลาย,,, Himantura   oxyrhyncha, Family Dasyatidae,"(Sauvage, 1878)", อาศัยในแม่น้ำตอนล่าง และบริเวณปากแม่น้ำ นิสัย เป็นปลากินเนื้อ กินปลา กุ้ง และปู ขนาดที่พบใหญ่สุดมีความ กว้างลำตัวประมาณ 50 เซนติเมตร, การกระจายพันธุ์ พบเป็นบริเวณกว้างตั้งแต่ภูมิภาคเอเซีย ตะวันออกเฉียงใต้ จนถึงเขตกาลิมันตัน ประเทศอินโดนีเซีย ในประเทศไทย พบในแม่น้ำบางปะกง และแม่น้ำเจ้าพระยา โดย มีรายงานพบในแม่น้ำเจ้าพระยา ตั้งแต่ปากแม่น้ำจนถึงบริเวณ จังหวัดพระนครศรีอยุธยา, สัตว์น้ำเฉพาะถิ่น,, กรมประมง, 3.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/3.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=3
4, ปู, ปูทะเล," ปูขาว, ปูทองหลาง", Mud Crab, Scylla   paramamosain, Family Portunidae,"(Estampador, 1949)", เป็นสัตว์น้ำกร่อย มีกระดองแข็งหุ้มลำตัว ขอบระหว่างตามีหนาม 4 อัน ส่วนด้านข้างตาแต่ละข้างมีหนามข้างละ 8-9 อัน ก้ามจะมีหนามแหลม ส่วนขาอื่น ๆ ไม่มีหนาม ตัวผู้จะมีก้ามขนาดใหญ่แข็งแรงกว่าตัวเมียอย่างเห็นได้ชัด อาศัยอยู่ในบริเวณป่าชายเลน มีการอพยพย้ายถิ่นเพื่อการแพร่พันธุ์ โดยปูทะเลเพศเมียจะอพยพจากแหล่งอาศัยในบริเวณเขตนํ้ากร่อย เพื่อออกไปวางไข่ในทะเล ซึ่งการอพยพนี้จะมีขึ้นภายหลังจากที่ได้ผ่านการจับคู่ผสมพันธุ์ เมื่อแม่ปูวางไข่ในทะเลลึกลูกปูจะพัฒนาจากระยะตัวอ่อน จนเข้าสู่ระยะวัยรุ่นจากนั้นจึงว่ายน้ำกลับมาอาศัยหากินยังบริเวณป่าชายเลนในเขตน้ำกร่อยต่อไป, พบได้ทั่วไปตลอดแนวชายฝั่งทะเลที่มีป่าชายเลนตั้งแต่เขตอบอุ่นถึงเขตร้อน เขตอินโดแปซิฟิกตั้งแต่ทวีปแอฟริกา ออสเตรเลีย และเอเชีย สำหรับในประเทศไทยพบการแพร่กระจายอยู่ทุกจังหวัดที่ติดชายฝั่งทะเลทั้ง 2 ฝั่ง แต่พบมากในบริเวณฝั่งทะเลอ่าวไทย ชอบอาศัยอยู่ตามแม่น้ำลำคลองที่มีอาณาเขต ติดต่อกับแนวชายฝั่งทะเล หรือป่าชายเลน, สัตว์น้ำทั่วไป, ศพช.สุราษฎร์ธานี สำนักวิจัยและพัฒนาประมงชายฝั่ง กรมประมง, ศพช.สุราษฎร์ธานี สำนักวิจัยและพัฒนาประมงชายฝั่ง กรมประมง, 4.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/4.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=4
5, ปู, ปูทะเล," ปูดำ, ปูแดง", Mud Crab, Scylla   olivacea, Family Portunidae,"(Herbst, 1796)", เป็นสัตว์น้ำกร่อย มีกระดองแข็งหุ้มลำตัว ขอบระหว่างตามีหนาม 4 อัน ส่วนด้านข้างตาแต่ละข้างมีหนามข้างละ 8-9 อัน ก้ามจะมีหนามแหลม ส่วนขาอื่น ๆ ไม่มีหนาม ตัวผู้จะมีก้ามขนาดใหญ่แข็งแรงกว่าตัวเมียอย่างเห็นได้ชัด อาศัยอยู่ในบริเวณป่าชายเลน มีการอพยพย้ายถิ่นเพื่อการแพร่พันธุ์ โดยปูทะเลเพศเมียจะอพยพจากแหล่งอาศัยในบริเวณเขตนํ้ากร่อย เพื่อออกไปวางไข่ในทะเล ซึ่งการอพยพนี้จะมีขึ้นภายหลังจากที่ได้ผ่านการจับคู่ผสมพันธุ์ เมื่อแม่ปูวางไข่ในทะเลลึกลูกปูจะพัฒนาจากระยะตัวอ่อน จนเข้าสู่ระยะวัยรุ่นจากนั้นจึงว่ายน้ำกลับมาอาศัยหากินยังบริเวณป่าชายเลนในเขตน้ำกร่อยต่อไป, พบได้ทั่วไปตลอดแนวชายฝั่งทะเลที่มีป่าชายเลนตั้งแต่เขตอบอุ่นถึงเขตร้อน เขตอินโดแปซิฟิกตั้งแต่ทวีปแอฟริกา ออสเตรเลีย และเอเชีย สำหรับในประเทศไทยพบการแพร่กระจายอยู่ทุกจังหวัดที่ติดชายฝั่งทะเลทั้ง 2 ฝั่ง แต่พบมากในบริเวณฝั่งทะเลอันดามัน ชอบอาศัยอยู่ตามแม่น้ำลำคลองที่มีอาณาเขต ติดต่อกับแนวชายฝั่งทะเล หรือป่าชายเลน, สัตว์น้ำทั่วไป, ศพช.สุราษฎร์ธานี สำนักวิจัยและพัฒนาประมงชายฝั่ง กรมประมง, ศพช.สุราษฎร์ธานี สำนักวิจัยและพัฒนาประมงชายฝั่ง กรมประมง, 5.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/5.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=5
6, ปู, ปูทะเล," ปูเขียว, ปูทองโหลง", Mud Crab, Scylla   serrata, Family Portunidae,"(Forskal, 1775)", เป็นสัตว์น้ำกร่อย มีกระดองแข็งหุ้มลำตัว ขอบระหว่างตามีหนาม 4 อัน ส่วนด้านข้างตาแต่ละข้างมีหนามข้างละ 8-9 อัน ก้ามจะมีหนามแหลม ส่วนขาอื่น ๆ ไม่มีหนาม ตัวผู้จะมีก้ามขนาดใหญ่แข็งแรงกว่าตัวเมียอย่างเห็นได้ชัด อาศัยอยู่ในบริเวณป่าชายเลน มีการอพยพย้ายถิ่นเพื่อการแพร่พันธุ์ โดยปูทะเลเพศเมียจะอพยพจากแหล่งอาศัยในบริเวณเขตนํ้ากร่อย เพื่อออกไปวางไข่ในทะเล ซึ่งการอพยพนี้จะมีขึ้นภายหลังจากที่ได้ผ่านการจับคู่ผสมพันธุ์ เมื่อแม่ปูวางไข่ในทะเลลึกลูกปูจะพัฒนาจากระยะตัวอ่อน จนเข้าสู่ระยะวัยรุ่นจากนั้นจึงว่ายน้ำกลับมาอาศัยหากินยังบริเวณป่าชายเลนในเขตน้ำกร่อยต่อไป, พบได้ทั่วไปตลอดแนวชายฝั่งทะเลที่มีป่าชายเลนตั้งแต่เขตอบอุ่นถึงเขตร้อน เขตอินโดแปซิฟิกตั้งแต่ทวีปแอฟริกา ออสเตรเลีย และเอเชีย ชอบอาศัยอยู่ตามแม่น้ำลำคลองที่มีอาณาเขต ติดต่อกับแนวชายฝั่งทะเล หรือป่าชายเลน สำหรับประเทศไทยในปัจจุบันพบปูทะเลชนิดนี้น้อยมาก, สัตว์น้ำทั่วไป, ศพช.สุราษฎร์ธานี สำนักวิจัยและพัฒนาประมงชายฝั่ง กรมประมง, ศพช.สุราษฎร์ธานี สำนักวิจัยและพัฒนาประมงชายฝั่ง กรมประมง, 6.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/6.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=6
7, ปู, ปูทะเล, ปูม่วง, Mud Crab, Scylla   tranquebarica, Family Portunidae,"(Fabricius, 1798)", เป็นสัตว์น้ำกร่อย มีกระดองแข็งหุ้มลำตัว ขอบระหว่างตามีหนาม 4 อัน ส่วนด้านข้างตาแต่ละข้างมีหนามข้างละ 8-9 อัน ก้ามจะมีหนามแหลม ส่วนขาอื่น ๆ ไม่มีหนาม ตัวผู้จะมีก้ามขนาดใหญ่แข็งแรงกว่าตัวเมียอย่างเห็นได้ชัด อาศัยอยู่ในบริเวณป่าชายเลน มีการอพยพย้ายถิ่นเพื่อการแพร่พันธุ์ โดยปูทะเลเพศเมียจะอพยพจากแหล่งอาศัยในบริเวณเขตนํ้ากร่อย เพื่อออกไปวางไข่ในทะเล ซึ่งการอพยพนี้จะมีขึ้นภายหลังจากที่ได้ผ่านการจับคู่ผสมพันธุ์ เมื่อแม่ปูวางไข่ในทะเลลึกลูกปูจะพัฒนาจากระยะตัวอ่อน จนเข้าสู่ระยะวัยรุ่นจากนั้นจึงว่ายน้ำกลับมาอาศัยหากินยังบริเวณป่าชายเลนในเขตน้ำกร่อยต่อไป, พบได้ทั่วไปตลอดแนวชายฝั่งทะเลที่มีป่าชายเลนตั้งแต่เขตอบอุ่นถึงเขตร้อน เขตอินโดแปซิฟิกตั้งแต่ทวีปแอฟริกา ออสเตรเลีย และเอเชีย ชอบอาศัยอยู่ตามแม่น้ำลำคลองที่มีอาณาเขต ติดต่อกับแนวชายฝั่งทะเล หรือป่าชายเลน สำหรับประเทศไทยในปัจจุบันพบปูทะเลชนิดนี้น้อยมาก, สัตว์น้ำทั่วไป, ศพช.สุราษฎร์ธานี สำนักวิจัยและพัฒนาประมงชายฝั่ง กรมประมง, ศพช.สุราษฎร์ธานี สำนักวิจัยและพัฒนาประมงชายฝั่ง กรมประมง, 7.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/7.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=7
8, ปู, ปูม้า, ปูม้า, Blue Swimming Crab, Portunas   pelagicus, Family Portunidae,"(Linnaeus, 1758)", เป็นสัตว์น้ำบริเวณชายฝั่งทะเล ที่มีก้ามเรียวยาว มีสัน หนามข้างกระดองด้านละ 9 อัน อันสุดท้ายมีขนาดใหญ่และยาวที่สุดกระดองแบนกว้างมากและมีตุ่มเล็ก ๆ กระจายทั่วไป มีหนามที่ขอบเบ้าตาด้านบน ขอบเบ้าตาด้านล่างมีหนาม แหลม 1 อัน ขาเดินมี 3 คู่ กรรเชียงว่ายน้ำ 1 คู่ ตัวผู้มีก้ามเรียวยาวกว่า มีสีฟ้าอ่อนและมีจุดขาวตกกระทั่วไปบนกระดองและก้าม ปูม้าเพศเมียเจริญเต็มที่ขนาดความกว้างกระดองประมาณ 15-20 เซนติเมตร ในอายุเท่ากันปูม้าเพศผู้มีขนาดใหญ่กว่าเพศเมียและมีสีสันสวยงามกว่า, ปูม้ามีการแพร่กระจายทั่วไป โดยจะพบตั้งแต่ชายฝั่งทะเลมหาสมุทรอินเดีย มหาสมุทรแปซิฟิก ทะเลเมดิเตอร์เรเนียน อ่าวเปอร์เซียร์ ในประเทศไทยสามารถพบได้ทั่วไปตลอดแนวชายฝั่งทะเลทั้งฝั่งอ่าวไทย และอันดามัน โดยอาศัยอยู่ตามบริเวณที่ตื้นชายฝั่งทะเลระหว่างเขตน้ำขึ้นน้ำลง จนถึงระยะห่างจากฝั่งทะเลประมาณ 20 กิโลเมตร ระดับน้ำลึกประมาณ 30-50 เมตร, สัตว์น้ำทั่วไป, www.google.co.th/image : blue swimming crab, ศพช.สุราษฎร์ธานี สำนักวิจัยและพัฒนาประมงชายฝั่ง กรมประมง, 8.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/8.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=8
9, ปลา, ปลาสร้อยขาว, สร้อยหัวกลม, Siamese mud carp, Henicorhynchus   siamensis, Family Cyprinidae,"(Sauvage,, 1881)", ปลาสร้อยขาว เป็นปลาน้ำจืดขนาดเล็กชนิดหนึ่ง ลักษณะลำตัวเพรียวยาว หัวโตและกลมมน ปากเล็กอยู่เกือบจะสุดจะงอยปาก กึ่งกลางของริมฝีปากมีปุ่มกระดุกยื่นออกมา ไม่มีหนวด เกล็ดมีขนาดใหญ่ลำตัวสีน้ำเงินอมเทา เหนือครีบอกมีจุดสีคล้ำ ครีบหลังเล็ก ครีบหางเว้าลึกและมีจุดประสีคล้ำ, ปลาสร้อยขาว มีพฤติกรรมอยู่รวมกันเป็นฝูงใหญ่ พบในแหล่งน้ำหลาก หนองบึง และแม่น้ำขนาดใหญ่ในทุกภาคของประเทศไทย, สัตว์น้ำทั่วไป, ศพจ.อำนาจเจริญ, ศพจ.อำนาจเจริญ, 9.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/9.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=9
10, ปลา, ปลาเค้าขาว, เค้าคูน, WHITE SHEATFISH, Wallago   attu,,"Bloch & Schneider,, 1801", เป็นปลาน้ำจืดไม่มีเกล็ด มีรสชาติดี ราคาค่อนข้างสูง ปากมีขนาดกว้าง มุมปากยาวเลยหลังของลูกตา มีฟันแหลมเล็กบนขากรรไกร ตาเล็ก มีหนวดที่ริมฝีปากยาวถึงครีบบน มีขนาดโดยเฉลี่ย 70-80 ซ.ม. พบใหญ่สุดถึง 2 เมตร มักหากินเวลากลางคืน ปลาเค้าขาวมีการเปลี่ยนแปลงลักษณะสีผิวตามสภาพแวดล้อม, ปลาเค้าขาวชอบอาศัยในบริเวณน้ำลึกในแม่น้ำ กระเสน้ำไม่แรงมากและมักซ่อนตัวอยู่ตามซอกหลืบริมฝั่งแม่น้ำที่มีสภาพเป็นดินโคลนเป็นปลาไม่รวมฝูง นิสัยก้าวร้าวหวงที่และไม่ค่อยย้ายถิ่น พบอยู่ทั่วไปตามแหล่งน้ำขนาดใหญ่ เช่น แม่น้ำเจ้าพระยา แม่น้ำน่าน บึงบอระเพ็ด และแม่น้ำโขง, สัตว์น้ำทั่วไป, ศพจ.อำนาจเจริญ, ศพจ.อำนาจเจริญ, 10.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/10.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=10
