ธนาคารแห่งประเทศไทย
PS_PT_015 : เงินอิเล็กทรอนิกส์ (e-Money) 1/
(หน่วย : ตามระบุ)
ปรับปรุงล่าสุด : 
วันที่เรียกข้อมูล : 
,,ม.ค. 2553 ,ก.พ. 2553 ,มี.ค. 2553 ,เม.ย. 2553 ,พ.ค. 2553 ,มิ.ย. 2553 ,ก.ค. 2553 ,ส.ค. 2553 ,ก.ย. 2553 ,ต.ค. 2553 ,พ.ย. 2553 ,ธ.ค. 2553 ,ม.ค. 2554 ,ก.พ. 2554 ,มี.ค. 2554 ,เม.ย. 2554 ,พ.ค. 2554 ,มิ.ย. 2554 ,ก.ค. 2554 ,ส.ค. 2554 ,ก.ย. 2554 ,ต.ค. 2554 ,พ.ย. 2554 ,ธ.ค. 2554 ,ม.ค. 2555 ,ก.พ. 2555 ,มี.ค. 2555 ,เม.ย. 2555 ,พ.ค. 2555 ,มิ.ย. 2555 ,ก.ค. 2555 ,ส.ค. 2555 ,ก.ย. 2555 ,ต.ค. 2555 ,พ.ย. 2555 ,ธ.ค. 2555 ,ม.ค. 2556 ,ก.พ. 2556 ,มี.ค. 2556 ,เม.ย. 2556 ,พ.ค. 2556 ,มิ.ย. 2556 ,ก.ค. 2556 ,ส.ค. 2556 ,ก.ย. 2556 ,ต.ค. 2556 ,พ.ย. 2556 ,ธ.ค. 2556 ,ม.ค. 2557 ,ก.พ. 2557 ,มี.ค. 2557 ,เม.ย. 2557 ,พ.ค. 2557 ,มิ.ย. 2557 ,ก.ค. 2557 ,ส.ค. 2557 ,ก.ย. 2557 ,ต.ค. 2557 ,พ.ย. 2557 ,ธ.ค. 2557 p,ม.ค. 2558 p,ก.พ. 2558 p,มี.ค. 2558 p,Q1/2553 ,Q2/2553 ,Q3/2553 ,Q4/2553 ,Q1/2554 ,Q2/2554 ,Q3/2554 ,Q4/2554 ,Q1/2555 ,Q2/2555 ,Q3/2555 ,Q4/2555 ,Q1/2556 ,Q2/2556 ,Q3/2556 ,Q4/2556 ,Q1/2557 ,Q2/2557 ,Q3/2557 ,Q4/2557 ,Q1/2558 p,2553 ,2554 ,2555 ,2556 ,2557 p
1,จำนวนบัตร/บัญชี (ล้านบัตร/ล้านบัญชี) 2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,   ผู้ให้บริการที่เป็นสถาบันการเงิน,0.37,0.39,0.43,0.42,0.38,0.40,0.40,0.43,0.46,0.47,0.52,0.54,0.49,0.50,0.54,0.58,0.62,0.64,0.63,0.64,0.43,0.43,0.41,0.45,0.50,0.54,0.56,0.57,0.61,0.66,0.69,0.74,0.79,0.87,0.90,1.01,1.03,1.11,1.26,1.32,1.34,1.44,1.46,1.56,1.53,1.57,1.70,1.68,1.65,1.62,1.65,1.66,1.69,1.71,1.65,1.65,1.66,1.62,1.68,1.46,1.47,1.56,1.57,0.42,0.39,0.45,0.54,0.54,0.63,0.42,0.45,0.55,0.65,0.78,1.00,1.26,1.43,1.52,1.68,1.64,1.70,1.65,1.45,1.57,0.54,0.45,1.00,1.68,1.45
3,   ผู้ให้บริการทิ่มิใช่สถาบันการเงิน (non-bank),9.58,9.76,9.70,9.68,9.83,9.99,10.05,10.18,10.38,10.48,10.73,10.95,11.11,11.28,11.41,11.61,11.70,11.86,11.98,12.15,12.27,12.72,13.20,13.36,13.77,14.01,14.37,15.00,15.11,15.62,16.03,16.66,17.32,18.12,18.70,19.22,19.60,19.95,20.48,20.65,20.83,21.02,21.27,21.70,21.88,22.06,22.33,22.62,22.85,23.10,23.41,23.67,23.91,24.32,24.73,24.94,25.09,25.18,25.17,25.40,25.40,25.43,25.56,9.69,9.98,10.37,10.95,11.40,11.86,12.27,13.36,14.36,15.61,17.31,19.22,20.48,21.02,21.87,22.61,23.41,24.32,25.08,25.40,25.56,10.95,13.36,19.22,22.61,25.40
4,รวมทั้งสิ้น,9.95,10.14,10.12,10.10,10.21,10.38,10.45,10.60,10.83,10.95,11.24,11.49,11.60,11.78,11.94,12.18,12.31,12.50,12.60,12.78,12.69,13.14,13.60,13.81,14.27,14.54,14.92,15.56,15.71,16.27,16.72,17.40,18.10,18.98,19.59,20.23,20.63,21.05,21.74,21.97,22.17,22.45,22.73,23.26,23.40,23.63,24.03,24.29,24.49,24.72,25.05,25.33,25.60,26.03,26.37,26.58,26.74,26.80,26.85,26.86,26.87,26.99,27.13,10.11,10.37,10.82,11.49,11.94,12.49,12.69,13.81,14.91,16.26,18.09,20.22,21.74,22.45,23.39,24.29,25.05,26.02,26.73,26.85,27.14,11.49,13.81,20.22,24.29,26.85
5,มูลค่าการเติมเงิน (ล้านบาท) 3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,   ผู้ให้บริการที่เป็นสถาบันการเงิน,22.62,23.20,42.18,14.34,19.01,33.25,35.69,25.47,31.00,26.08,58.85,27.81,32.62,29.01,47.76,38.14,46.46,39.33,33.81,42.21,45.26,30.63,27.51,58.47,67.14,42.40,57.91,41.03,74.87,75.45,71.24,104.94,83.69,94.51,82.66,133.89,119.16,127.73,703.98,145.32,129.79,149.46,151.63,164.88,165.25,164.78,168.52,203.03,207.06,169.75,207.63,203.55,178.57,196.66,205.43,195.06,212.55,218.18,233.17,228.07,269.90,310.45,273.90,87.98,66.60,92.13,112.72,109.37,123.90,121.27,116.61,167.42,191.34,259.85,311.04,950.86,424.57,481.76,536.32,584.42,578.77,613.03,679.40,854.24,359.43,471.15,929.65,2393.51,2455.62
7,   ผู้ให้บริการทิ่มิใช่สถาบันการเงิน (non-bank),1356.65,1293.21,1290.20,1229.18,1210.89,1246.32,1367.93,1453.27,1503.20,1625.36,1872.79,2201.33,2053.74,1856.70,2010.86,1978.70,1976.56,1937.43,2022.51,2075.14,2256.69,2213.85,1735.86,2121.11,2148.85,2078.38,2344.13,2427.92,2550.82,2637.38,2854.24,3490.94,3565.07,3722.12,3389.15,3589.85,3332.84,3248.03,3554.73,3398.57,3423.31,3347.28,3668.88,4526.32,4344.37,4641.55,4341.71,4108.02,4136.84,3774.19,4345.89,4223.23,4341.30,4576.46,4733.37,4875.09,4431.33,4751.09,4381.50,4993.97,4469.84,4167.05,5376.70,3940.05,3686.37,4324.37,5699.47,5921.30,5892.68,6354.33,6070.81,6571.34,7616.09,9910.23,10701.10,10135.58,10169.13,12539.55,13091.27,12256.89,13140.98,14039.77,14126.54,14013.62,17650.26,24239.12,34798.76,45935.53,53564.18
8,รวมทั้งสิ้น,1379.27,1316.40,1332.37,1243.51,1229.90,1279.56,1403.61,1478.73,1534.19,1651.44,1931.63,2229.14,2086.35,1885.70,2058.62,2016.83,2023.02,1976.75,2056.32,2117.34,2301.95,2244.48,1763.36,2179.58,2215.98,2120.78,2402.03,2468.95,2625.68,2712.82,2925.47,3595.88,3648.75,3816.63,3471.80,3723.73,3451.99,3375.75,4258.71,3543.88,3553.10,3496.74,3820.50,4691.19,4509.62,4806.33,4510.23,4311.05,4343.90,3943.93,4553.51,4426.77,4519.86,4773.12,4938.80,5070.14,4643.87,4969.26,4614.67,5222.03,4739.74,4477.50,5650.60,4028.04,3752.97,4416.50,5812.19,6030.66,6016.59,6475.61,6187.42,6738.77,7807.44,10170.10,11012.15,11086.44,10593.70,13021.31,13627.58,12841.32,13719.74,14652.79,14805.94,14867.86,18009.70,24710.28,35728.46,48329.03,56019.79
9,มูลค่าการใช้จ่าย (ล้านบาท) 4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,   ผู้ให้บริการที่เป็นสถาบันการเงิน,25.10,24.05,26.95,28.63,24.74,27.60,34.88,28.33,26.40,29.90,34.69,37.79,34.67,30.07,33.45,35.50,38.53,50.87,39.36,38.43,39.24,34.10,34.34,46.80,60.96,45.14,51.04,50.94,56.78,61.44,64.23,79.37,76.11,82.52,83.06,102.13,96.34,109.83,127.44,414.48,158.02,181.68,166.95,172.43,164.58,170.35,163.85,196.42,212.71,208.05,225.26,191.06,184.87,177.75,230.54,219.08,205.13,229.88,207.37,258.03,246.91,288.78,283.28,76.09,80.97,89.59,102.36,98.18,124.88,117.01,115.22,157.11,169.15,219.71,267.68,333.58,754.17,503.95,530.62,646.01,553.67,654.74,695.28,818.98,349.01,455.29,813.65,2122.32,2549.70
