Unique Identifier,DOH-0002
Title,ปริมาณการเดินทาง
Description,ปริมาณรถที่วิ่งผ่านจุดสำรวจต่อวันโดยเฉลี่ยของปริมาณการเดินทาง ผลรวม(ปริมาณจราจรโดยเฉลี่ยต่อวัน x 365 x ระยะทางแต่ละสายทาง)
Tage,"VKT,ปริมาณการเดินทาง"
Last Updated, 2014-12-30
Publisher,กลุ่มสถิติสารสนเทศ สำนักอำนวยความปลอดภัย กรมทางหลวง
Contact Name,นางสาวกรสุชา ปาลศิริ
Contact Email,konsucha.pansiri@gmail.com
Contact Number,02-354-6636
Format,csv
Frequency,02-Annual
Category,คมนาคม และโลจิสติกส์
Language,Th/En
Public Access Level,Public
URL,
License,
Rights,
