ลำดับ NO,หมายเลขทางหลวง ROUTE,หมายเลขตอน CONTROL,STATION_ID,ชื่อตอน(ไทย) NAMET,ชื่อตอน(อังกฤษ) NAMEE,รหัส สทล. DIV_NUM,แขวงทางหลวง DISTRICT,แขวงทางหลวง(อังกฤษ) ENG_DIST,กม.จุดสำรวจ KM1,ประเภทจุดสำรวจ TYPE,รหัสแขวง CODE,รหัสจังหวัด NOD,จังหวัด CHANGWAT,จังหวัด(อังกฤษ) ENG_CHANG,รถจักรยาน2 ล้อ/3ล้อ VEH1_T,3 ล้อเครื่องและจักรยานยนต์ VEH2_T,รถยนต์นั่งไม่เกิน 7 คน VEH3_T,รถยนต์นั่งเกิน 7 คน VEH4_T,รถโดยสารขนาดเล็ก VEH5_T,รถโดยสารขนาดกลาง VEH6_T,รถโดยสารขนาดใหญ่ VEH7_T,รถบรรทุกขนาดเล็ก VEH8_T,รถบรรทุกขนาด 2 เพลา (6 ล้อ) VEH9_T,รถบรรทุกขนาด 3 เพลา (10 ล้อ) VEH10_T,รถพ่วง VEH11_T,รถกึ่งพ่วง VEH12_T,รถเครื่องจักรและรถดัดแปลง VEH13_T,รวม(ไม่รวมจักรยาน/จยย) VEH_T,%รถบรรทุก HVTOT
1,1,102,6,แยก คปอ. - สนามกีฬาธูปะเตมีย์,KO PO O INTERSECTION - THUPATEMEE STADIUM,13,ขท.กรุงเทพ,BANGKOK HIGHWAY DISTRICT,25+556,C,411,3,กรุงเทพมหานคร,BANGKOK,53,8335,34098,11223,43,1055,1633,14101,491,204,130,37,6,63015,5.634
2,1,201,76,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,THUPATEMEE STADIUM - KHLONG LUANG INTERCHANGE,13,ขท.ปทุมธานี,PATHUM THANI HIGHWAY DISTRICT,35+550,C,416,36,ปทุมธานี,PATHUM THANI,316,13215,169899,32508,15953,3713,10722,62329,7976,3408,2255,2018,26,310781,9.683
3,1,202,72,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,KHLONG LUANG INTERCHANG - PRATU NAM PHRA IN,13,ขท.ปทุมธานี,PATHUM THANI HIGHWAY DISTRICT,48+100,C,416,36,ปทุมธานี,PATHUM THANI,33,23196,61319,32148,4045,4954,13096,37420,14176,9514,4545,3868,13,185085,27.097
4,1,300,10,ประตูน้ำพระอินทร์ - หนองแค,PRATU NAM PHRA IN - NONG KHAE,13,ขท.อยุธยา,AYUTTHAYA HIGHWAY DISTRICT,60+800,C,413,2,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,0,1898,40266,17984,5183,704,5625,13451,11874,7878,7075,6188,0,116228,33.851
5,1,300,11,ประตูน้ำพระอินทร์ - หนองแค,PRATU NAM PHRA IN - NONG KHAE,13,ขท.อยุธยา,AYUTTHAYA HIGHWAY DISTRICT,67+300,C,413,2,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,0,1722,39755,16255,5476,696,5324,16200,13042,8716,7952,7016,0,120432,35.494
6,1,401,2217,หนองแค - หินกอง,NONG KHAE - HIN KONG,11,ขท.สระบุรี,SARABURI HIGHWAY DISTRICT,92+000,P,432,56,สระบุรี,SARABURI,34,8724,10577,10328,66,63,5811,10797,6865,6736,6944,7429,12,65616,51.585
7,1,403,2218,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,PAK KHAO SAN - JCT.PHU KHAE PARK,11,ขท.สระบุรี,SARABURI HIGHWAY DISTRICT,121+000,C,432,56,สระบุรี,SARABURI,110,957,13118,13655,615,350,312,1278,1012,1391,4804,5397,15,41932,31.637
8,1,404,2540,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,JCT.PHU KHAE PARK - JCT.SUTHI WITTHAYA SCHOOL,11,ขท.สระบุรี,SARABURI HIGHWAY DISTRICT,136+208,C,432,56,สระบุรี,SARABURI,1072,5067,9146,9758,2859,2845,3332,3896,3751,3712,3772,3592,207,46663,45.012
9,1,501,2185,แยกโรงเรียนสุธีวิทยา - ดงจำปา,JCT.SUTHI WITTHAYA SCHOOL - DONG CHAM PA,11,ขท.ลพบุรีที่ 1,LOP BURI 1 HIGHWAY DISTRICT,142+200,C,431,56,สระบุรี,SARABURI,42,1775,8106,8588,1456,1063,391,1922,985,976,1699,942,39,26128,23.178
10,1,503,2186,แยก ร.พ.อานันทมหิดล - โคกสำโรง,JCT.ANANDHAMAHIDOL HOSPITAL - KHOK SAMRONG,11,ขท.ลพบุรีที่ 1,LOP BURI 1 HIGHWAY DISTRICT,167+355,C,431,21,ลพบุรี,LOP BURI,47,2592,5226,3684,352,44,176,4129,398,110,285,96,45,14500,7.648
11,1,504,2539,โคกสำโรง - หนองม่วง,KHOK SAMRONG - NONG MUANG,11,ขท.ลพบุรีที่ 1,LOP BURI 1 HIGHWAY DISTRICT,192+000,C,431,21,ลพบุรี,LOP BURI,92,1837,3096,3234,560,496,490,1728,1269,1032,1275,1204,320,14384,40.086
12,1,601,2319,ลำพยนต์ - เกษตรชัย,LAM PHAYON - KASETCAI,11,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),NAKHON SAWAN 2 (TAK FA) HIGHWAY DISTRICT,222+176,P,438,30,นครสวรรค์,NAKHON SAWAN,22,1395,1986,453,34,37,60,1246,640,473,360,220,58,5509,32.492
13,1,602,2320,เกษตรชัย - ตาคลี,KASETCHAI - TAKHLI,11,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),NAKHON SAWAN 2 (TAK FA) HIGHWAY DISTRICT,235+000,C,438,30,นครสวรรค์,NAKHON SAWAN,5,1236,1128,632,30,27,38,1682,134,72,109,36,20,3888,10.7
14,1,603,1142,ตาคลี - ดอนรังนก,TAKHLI - DON RANG NOK,11,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),NAKHON SAWAN 2 (TAK FA) HIGHWAY DISTRICT,254+000,C,438,30,นครสวรรค์,NAKHON SAWAN,22,2649,1922,1462,36,53,40,1924,228,216,196,42,23,6119,12.665
15,1,701,278,ดอนรังนก - บ้านกล้วย,DON RANG NOK - BAN KLUAI,12,ขท.ชัยนาท,CHAI NAT HIGHWAY DISTRICT,267+758,C,446,6,ชัยนาท,CHAI NAT,0,1013,3068,2989,2,1,70,1997,522,394,392,126,2,9561,15.741
16,1,702,279,บ้านกล้วย - หางน้ำหนองแขม,BAN KLUAI - HANG NAM NONG KHAEM,12,ขท.ชัยนาท,CHAI NAT HIGHWAY DISTRICT,289+504,C,446,6,ชัยนาท,CHAI NAT,36,1829,8063,1712,27,6,99,2368,630,437,812,224,21,14378,15.357
17,1,702,280,บ้านกล้วย - หางน้ำหนองแขม,BAN KLUAI - HANG NAM NONG KHAEM,12,ขท.ชัยนาท,CHAI NAT HIGHWAY DISTRICT,291+711,C,446,6,ชัยนาท,CHAI NAT,16,1050,5844,2880,8,6,88,1579,535,431,752,202,6,12325,16.341
18,1,801,2339,หางน้ำหนองแขม - บ้านหว้า,HANG NAM NONG KHAEM - BAN WA,11,ขท.นครสวรรค์ที่ 1,NAKHON SAWAN 1 HIGHWAY DISTRICT,306+776,P,437,30,นครสวรรค์,NAKHON SAWAN,15,499,9244,7005,7,32,643,12599,2418,2957,3386,3260,3,41551,30.555
19,1,801,2290,หางน้ำหนองแขม - บ้านหว้า,HANG NAM NONG KHAEM - BAN WA,11,ขท.นครสวรรค์ที่ 1,NAKHON SAWAN 1 HIGHWAY DISTRICT,316+676,C,437,30,นครสวรรค์,NAKHON SAWAN,3,917,6464,6178,0,0,418,8985,1513,1795,1869,1940,21,29162,25.838
20,1,802,2291,บ้านหว้า - แยกเวียงดอย,BAN WA - JCT.WIANG DOI,11,ขท.นครสวรรค์ที่ 1,NAKHON SAWAN 1 HIGHWAY DISTRICT,331+276,C,437,30,นครสวรรค์,NAKHON SAWAN,0,2450,9737,5070,0,235,244,15012,1852,1223,1429,2539,0,37341,20.144
21,1,802,2292,บ้านหว้า - แยกเวียงดอย,BAN WA - JCT.WIANG DOI,11,ขท.นครสวรรค์ที่ 1,NAKHON SAWAN 1 HIGHWAY DISTRICT,341+076,C,437,30,นครสวรรค์,NAKHON SAWAN,28,12202,7959,5120,884,442,632,14994,974,912,640,449,8,33006,12.267
22,1,804,2507,วังไผ่ -โนนปอแดง,WANG PHAI - NON PO DAENG,11,ขท.นครสวรรค์ที่ 1,NAKHON SAWAN 1 HIGHWAY DISTRICT,356+936,C,437,30,นครสวรรค์,NAKHON SAWAN,8,1472,4062,2451,17,61,251,6996,782,966,1614,1576,4,18776,27.961
23,1,804,2508,วังไผ่ -โนนปอแดง,WANG PHAI - NON PO DAENG,11,ขท.นครสวรรค์ที่ 1,NAKHON SAWAN 1 HIGHWAY DISTRICT,377+276,C,437,30,นครสวรรค์,NAKHON SAWAN,29,806,4538,3933,9,12,252,6749,1290,1332,1931,2158,9,22204,31.413
24,1,901,454,โนนปอแดง - ปากดง,NON PO DAENG - PAK DONG,4,ขท.กำแพงเพชร,KAMPHAENG PHET HIGHWAY DISTRICT,390+276,C,517,14,กำแพงเพชร,KAMPHAENG PHET,15,947,4930,3376,156,15,256,7164,844,827,1212,1593,29,20373,23.3
25,1,901,455,โนนปอแดง - ปากดง,NON PO DAENG - PAK DONG,4,ขท.กำแพงเพชร,KAMPHAENG PHET HIGHWAY DISTRICT,417+776,C,517,14,กำแพงเพชร,KAMPHAENG PHET,33,996,3091,1219,93,44,304,5282,707,780,948,1321,40,13789,29.763
26,1,901,456,โนนปอแดง - ปากดง,NON PO DAENG - PAK DONG,4,ขท.กำแพงเพชร,KAMPHAENG PHET HIGHWAY DISTRICT,423+900,P,517,14,กำแพงเพชร,KAMPHAENG PHET,14,379,4436,2356,83,90,358,6948,993,1019,1433,1874,24,19590,29.438
