หมายเลขสำนักทางหลวง (Buraeu No.),สำนักทางหลวง,Buraeu of Highways,"จำนวนของช่องจราจร
Number of lane","ระยะทาง (กม.)
Length (K.M.)","รถยนต์นั่งไม่เกิน 7 คน
Passenger Car. less  than 7 persons","รถยนต์นั่งเกิน 7 คน
Passenger Car. more  than 7 persons","รถโดยสารขนาดเล็ก
Ligth Bus","รถโดยสารขนาดกลาง
Medium Bus","รถโดยสารขนาดใหญ่
Heavy Bus","รถบรรทุกเล็ก 4 ล้อ
Ligth Truck","รถบรรทุกกลาง 6 ล้อ
Medium Truck","รถบรรทุก 10 ล้อ
Heavy Truck","รถบรรทุกพ่วง
Full Trailor","รถบรรทุกกึ่งพ่วง
Semi Trailor","รวม
Total","รถจักรยานยนต์
Motorcycle","ปริมาณการเดินทางรวม
Total (PCU-กิโลเมตร)
(PCU-kilometer)"
1,เชียงใหม่,CHIANG MAI,2,3132.43,1670207734,873697933,165448978,87848907,62520131,2283449267,309385080,163679618,92384385,62833966,5771455999,2014175767,7457011006
1,เชียงใหม่,CHIANG MAI,4,663.16,1515519616,761519597,125649172,78638816,67620402,1611839758,227385961,152478824,125850047,102094840,4768597033,1068213507,6121842107
1,เชียงใหม่,CHIANG MAI,> 4,176.44,1173320429,358986350,85245075,33388950,23736890,722953430,56675205,36201575,25873909,25061801,2541443614,697741202,3052325800
2,แพร่,PHRAE,2,2750.12,988819345,439368200,51517803,25105036,19336346,1099377641,189966412,92214735,43812515,25077122,2974595155,1136080747,3863878241
2,แพร่,PHRAE,4,913.13,1266118126,593729473,73209935,49069171,64734798,1442605901,187925506,124534530,86174784,71202522,3959304746,1026860397,5063523679
2,แพร่,PHRAE,> 4,120.01,264736439,71439685,7555044,2801734,3260196,164077650,26254917,10385547,5927060,3576800,560015072,149459528,677324967
3,สกลนคร,SAKON NAKHON,2,1956.3,1078963813,775907157,106416411,77802726,91707347,1440621717,237790128,163853725,118138007,92709455,4183910486,1130505894,5577663950
3,สกลนคร,SAKON NAKHON,4,808.05,921447867,440871629,57099183,35047008,34905210,720661501,110616337,74202143,50140709,39841790,2484833377,715857011,3175959271
3,สกลนคร,SAKON NAKHON,> 4,160.86,148633506,147844769,5939590,4820317,6482477,176197702,26652791,30247233,12763397,16951179,576532961,119622014,748269916
4,ตาก,TAK,2,1264.32,479718694,282361892,26891409,8626462,7022105,435187801,72196042,48610491,41342697,27583121,1429540714,537453198,1890077227
4,ตาก,TAK,4,488.8,458529444,336820245,26496683,11624559,20683173,415008179,82117189,62466498,75584383,86465543,1575795896,242954874,2125770984
4,ตาก,TAK,> 4,68.56,218764625,69029394,4470329,741151,5492105,140204391,17688012,16631332,23835556,30762693,527619588,76310840,688005178
